Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-24,EQ,"1,770.30","1,781.80","1,765.60","1,777.90","1,772.00","1,772.85","1,773.08","1,880.00","1,363.55","70,58,618","12,51,54,66,451.75","1,78,863"
30-Dec-24,EQ,"1,792.20","1,815.00","1,771.00","1,798.25","1,784.00","1,777.90","1,785.20","1,880.00","1,363.55","1,11,11,109","19,83,56,03,545.90","2,42,576"
27-Dec-24,EQ,"1,794.80","1,805.95","1,789.10","1,790.75","1,801.00","1,798.25","1,796.11","1,880.00","1,363.55","36,29,665","6,51,92,60,348.40","1,18,374"
26-Dec-24,EQ,"1,798.55","1,812.00","1,780.75","1,798.10","1,792.50","1,790.75","1,793.76","1,880.00","1,363.55","52,40,839","9,40,08,10,018.35","2,06,346"
24-Dec-24,EQ,"1,802.05","1,808.70","1,789.55","1,801.00","1,799.65","1,798.10","1,798.76","1,880.00","1,363.55","72,42,917","13,02,82,70,259.60","1,86,401"
23-Dec-24,EQ,"1,782.00","1,806.00","1,781.30","1,771.50","1,802.00","1,801.00","1,798.41","1,880.00","1,363.55","55,22,296","9,93,13,39,240.15","1,96,041"
20-Dec-24,EQ,"1,782.20","1,797.55","1,767.05","1,793.50","1,777.10","1,771.50","1,778.49","1,880.00","1,363.55","1,28,46,174","22,84,68,37,948.65","2,48,859"
19-Dec-24,EQ,"1,799.60","1,801.10","1,779.00","1,810.70","1,794.00","1,793.50","1,791.37","1,880.00","1,363.55","1,26,90,385","22,73,31,48,296.10","2,26,833"
18-Dec-24,EQ,"1,829.85","1,836.00","1,807.15","1,833.25","1,812.00","1,810.70","1,817.52","1,880.00","1,363.55","1,17,11,156","21,28,52,73,596.85","2,35,785"
17-Dec-24,EQ,"1,856.35","1,862.35","1,826.50","1,865.20","1,829.90","1,833.25","1,840.34","1,880.00","1,363.55","1,05,39,766","19,39,67,85,094.90","2,73,231"
16-Dec-24,EQ,"1,865.10","1,869.95","1,855.25","1,871.75","1,862.00","1,865.20","1,863.37","1,880.00","1,363.55","65,53,541","12,21,17,02,096.00","1,77,602"
13-Dec-24,EQ,"1,862.50","1,875.00","1,829.25","1,859.25","1,873.30","1,871.75","1,858.29","1,880.00","1,363.55","95,04,501","17,66,20,74,120.80","2,18,405"
12-Dec-24,EQ,"1,851.00","1,868.65","1,848.70","1,863.10","1,858.00","1,859.25","1,858.38","1,880.00","1,363.55","86,46,895","16,06,92,41,440.60","2,01,479"
11-Dec-24,EQ,"1,861.70","1,871.90","1,856.75","1,868.10","1,862.50","1,863.10","1,864.00","1,880.00","1,363.55","70,22,713","13,09,03,28,471.35","2,33,801"
10-Dec-24,EQ,"1,877.70","1,877.70","1,858.55","1,870.00","1,867.65","1,868.10","1,867.30","1,880.00","1,363.55","66,62,740","12,44,13,43,169.15","2,31,195"
09-Dec-24,EQ,"1,853.65","1,880.00","1,849.00","1,855.85","1,867.55","1,870.00","1,871.09","1,880.00","1,363.55","1,34,73,956","25,21,10,39,597.45","2,34,236"
06-Dec-24,EQ,"1,857.00","1,864.20","1,844.00","1,865.75","1,855.45","1,855.85","1,856.73","1,879.95","1,363.55","88,91,578","16,50,93,03,748.10","3,06,905"
05-Dec-24,EQ,"1,860.00","1,879.95","1,835.20","1,860.10","1,864.85","1,865.75","1,862.43","1,879.95","1,363.55","1,98,41,357","36,95,30,40,114.30","4,36,462"
04-Dec-24,EQ,"1,838.00","1,865.00","1,831.15","1,826.30","1,856.80","1,860.10","1,854.85","1,865.00","1,363.55","2,23,34,542","41,42,72,49,107.90","4,36,235"
03-Dec-24,EQ,"1,822.70","1,837.40","1,816.10","1,804.70","1,825.30","1,826.30","1,827.25","1,837.40","1,363.55","2,17,05,121","39,66,07,23,545.25","3,04,635"
02-Dec-24,EQ,"1,803.50","1,808.15","1,775.00","1,796.05","1,805.95","1,804.70","1,791.81","1,836.10","1,363.55","75,55,438","13,53,79,40,498.05","2,19,254"
29-Nov-24,EQ,"1,801.30","1,804.60","1,782.90","1,793.15","1,795.50","1,796.05","1,793.91","1,836.10","1,363.55","1,38,34,768","24,81,83,89,358.55","3,77,555"
28-Nov-24,EQ,"1,819.00","1,836.10","1,788.00","1,812.30","1,793.00","1,793.15","1,808.45","1,836.10","1,363.55","1,78,61,196","32,30,11,09,888.90","3,79,898"
27-Nov-24,EQ,"1,789.90","1,817.35","1,785.15","1,785.55","1,809.50","1,812.30","1,801.57","1,817.35","1,363.55","1,63,57,488","29,46,92,24,217.60","3,30,771"
26-Nov-24,EQ,"1,810.00","1,810.00","1,769.80","1,785.60","1,786.40","1,785.55","1,784.75","1,810.00","1,363.55","1,54,67,783","27,60,60,61,237.40","2,61,322"
25-Nov-24,EQ,"1,785.05","1,803.55","1,764.90","1,745.60","1,778.95","1,785.60","1,784.46","1,803.55","1,363.55","21,38,68,637","3,81,63,91,43,690.10","6,00,228"
22-Nov-24,EQ,"1,743.55","1,754.30","1,729.55","1,741.20","1,742.10","1,745.60","1,743.57","1,794.00","1,363.55","1,23,86,806","21,59,72,23,792.50","2,60,956"
21-Nov-24,EQ,"1,749.40","1,759.00","1,734.20","1,742.25","1,739.95","1,741.20","1,743.63","1,794.00","1,363.55","1,78,58,256","31,13,81,62,734.40","3,68,837"
19-Nov-24,EQ,"1,714.00","1,753.75","1,702.70","1,705.10","1,736.00","1,742.25","1,739.10","1,794.00","1,363.55","2,54,90,636","44,33,08,62,947.85","4,58,303"
18-Nov-24,EQ,"1,700.00","1,718.90","1,695.00","1,692.75","1,708.30","1,705.10","1,707.94","1,794.00","1,363.55","1,35,40,984","23,12,71,23,855.10","2,91,631"
14-Nov-24,EQ,"1,673.10","1,704.85","1,672.10","1,681.35","1,692.40","1,692.75","1,692.96","1,794.00","1,363.55","1,35,73,235","22,97,89,07,908.45","3,31,159"
13-Nov-24,EQ,"1,716.75","1,729.40","1,673.00","1,718.20","1,688.15","1,681.35","1,699.70","1,794.00","1,363.55","1,78,64,250","30,36,39,47,641.30","3,84,592"
12-Nov-24,EQ,"1,772.00","1,775.00","1,708.65","1,766.30","1,719.00","1,718.20","1,731.71","1,794.00","1,363.55","1,56,97,703","27,18,38,31,491.15","4,10,691"
