Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-24,EQ,"2,340.00","2,352.65","2,323.25","2,343.50","2,327.00","2,326.85","2,335.10","3,035.00","2,172.05","18,78,762","4,38,70,88,011.30","70,179"
30-Dec-24,EQ,"2,341.50","2,359.15","2,325.00","2,341.25","2,338.00","2,343.50","2,340.30","3,035.00","2,172.05","9,24,180","2,16,28,56,965.35","74,914"
27-Dec-24,EQ,"2,343.00","2,345.65","2,328.25","2,332.75","2,344.00","2,341.25","2,339.22","3,035.00","2,172.05","5,56,816","1,30,25,13,246.55","50,788"
26-Dec-24,EQ,"2,332.25","2,341.85","2,324.70","2,335.55","2,329.00","2,332.75","2,333.56","3,035.00","2,172.05","10,33,769","2,41,23,64,355.00","65,903"
24-Dec-24,EQ,"2,331.10","2,356.95","2,331.10","2,338.90","2,333.00","2,335.55","2,342.87","3,035.00","2,172.05","6,83,646","1,60,16,90,436.25","52,515"
23-Dec-24,EQ,"2,337.00","2,351.75","2,315.25","2,333.90","2,339.55","2,338.90","2,335.09","3,035.00","2,172.05","10,66,199","2,48,96,73,239.80","78,523"
20-Dec-24,EQ,"2,352.10","2,373.50","2,324.65","2,359.85","2,340.10","2,333.90","2,346.13","3,035.00","2,172.05","20,69,691","4,85,57,73,158.80","1,03,192"
19-Dec-24,EQ,"2,347.00","2,386.95","2,336.00","2,359.20","2,363.85","2,359.85","2,356.41","3,035.00","2,172.05","16,55,915","3,90,20,08,200.55","1,10,359"
18-Dec-24,EQ,"2,350.05","2,383.00","2,350.05","2,363.25","2,361.95","2,359.20","2,365.50","3,035.00","2,172.05","9,88,403","2,33,80,63,393.95","67,462"
17-Dec-24,EQ,"2,353.35","2,380.00","2,353.35","2,366.15","2,364.00","2,363.25","2,364.99","3,035.00","2,172.05","21,31,569","5,04,11,30,370.85","1,31,845"
16-Dec-24,EQ,"2,390.30","2,393.00","2,363.00","2,390.10","2,364.00","2,366.15","2,370.16","3,035.00","2,172.05","12,47,552","2,95,68,97,640.70","89,234"
13-Dec-24,EQ,"2,344.95","2,394.55","2,333.45","2,344.95","2,391.25","2,390.10","2,370.64","3,035.00","2,172.05","22,60,902","5,35,97,75,739.25","1,28,176"
12-Dec-24,EQ,"2,385.05","2,399.95","2,338.00","2,401.35","2,345.90","2,344.95","2,355.13","3,035.00","2,172.05","32,31,056","7,60,95,41,556.35","1,59,588"
11-Dec-24,EQ,"2,405.00","2,409.35","2,385.00","2,397.35","2,405.00","2,401.35","2,399.34","3,035.00","2,172.05","17,18,225","4,12,26,13,165.55","77,630"
10-Dec-24,EQ,"2,408.70","2,413.00","2,388.30","2,400.75","2,399.45","2,397.35","2,398.37","3,035.00","2,172.05","20,63,838","4,94,98,47,533.25","96,177"
09-Dec-24,EQ,"2,465.00","2,476.95","2,383.30","2,483.80","2,402.00","2,400.75","2,398.76","3,035.00","2,172.05","33,85,021","8,11,98,48,926.60","1,75,133"
06-Dec-24,EQ,"2,495.00","2,495.80","2,475.00","2,494.60","2,485.00","2,483.80","2,482.65","3,035.00","2,172.05","13,08,086","3,24,75,25,698.05","82,295"
05-Dec-24,EQ,"2,465.60","2,515.00","2,450.05","2,464.50","2,496.00","2,494.60","2,488.68","3,035.00","2,172.05","20,71,795","5,15,60,34,885.20","1,44,220"
04-Dec-24,EQ,"2,481.10","2,493.00","2,456.55","2,482.85","2,464.90","2,464.50","2,476.77","3,035.00","2,172.05","13,21,495","3,27,30,42,233.70","96,902"
03-Dec-24,EQ,"2,480.00","2,491.45","2,466.00","2,479.15","2,482.00","2,482.85","2,479.52","3,035.00","2,172.05","16,41,588","4,07,03,49,094.80","96,217"
02-Dec-24,EQ,"2,485.00","2,490.50","2,460.55","2,496.15","2,479.00","2,479.15","2,476.74","3,035.00","2,172.05","10,06,993","2,49,40,59,293.35","87,993"
29-Nov-24,EQ,"2,455.10","2,507.50","2,455.10","2,462.20","2,492.00","2,496.15","2,495.54","3,035.00","2,172.05","17,95,164","4,47,99,12,398.40","1,56,509"
28-Nov-24,EQ,"2,486.00","2,539.15","2,453.20","2,486.90","2,468.40","2,462.20","2,481.94","3,035.00","2,172.05","25,40,530","6,30,54,36,946.10","1,42,960"
27-Nov-24,EQ,"2,475.15","2,492.95","2,458.00","2,479.20","2,486.65","2,486.90","2,477.05","3,035.00","2,172.05","9,48,232","2,34,88,13,503.65","74,848"
26-Nov-24,EQ,"2,486.25","2,494.95","2,460.40","2,471.45","2,478.20","2,479.20","2,481.45","3,035.00","2,172.05","9,82,442","2,43,78,80,750.80","75,656"
