Company,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
ITC,31-Dec-24,EQ,478.45,484.65,474.55,477,484.45,483.65,479.83,528.5,399.35,"1,32,76,195","6,37,02,64,307.20","1,52,025"
ITC,30-Dec-24,EQ,480.75,481.45,476,478.6,476.8,477,478.45,528.5,399.35,"1,30,74,810","6,25,56,56,373.25","1,58,954"
ITC,27-Dec-24,EQ,479.75,481.9,476,476.95,479.7,478.6,479.17,528.5,399.35,"1,62,79,450","7,80,06,52,449.55","1,66,926"
ITC,26-Dec-24,EQ,480.55,481.85,476,478.45,477,476.95,478.43,528.5,399.35,"88,48,065","4,23,31,60,326.90","1,48,089"
ITC,24-Dec-24,EQ,474.9,480.25,472.65,474.25,478.25,478.45,478.09,528.5,399.35,"1,15,64,497","5,52,88,95,414.85","1,72,646"
ITC,23-Dec-24,EQ,471.2,477.7,467.6,464.65,474.5,474.25,473.08,528.5,399.35,"1,88,37,469","8,91,16,59,177.30","2,40,219"
ITC,20-Dec-24,EQ,466.5,467.45,459.3,466.55,465.65,464.65,463.94,528.5,399.35,"1,94,81,288","9,03,81,76,739.25","2,41,995"
ITC,19-Dec-24,EQ,469,474.35,465.3,470.5,466,466.55,468.63,528.5,399.35,"1,45,99,270","6,84,16,13,826.05","2,08,360"
ITC,18-Dec-24,EQ,472.7,473.8,466.9,469.55,471.25,470.5,470.47,528.5,399.35,"1,23,65,167","5,81,74,85,040.30","1,71,373"
ITC,17-Dec-24,EQ,470,475.8,463.05,470.1,470.7,469.55,470.32,528.5,399.35,"1,98,44,152","9,33,30,64,294.30","2,35,005"
ITC,16-Dec-24,EQ,470.25,474.4,468,470,470,470.1,470.12,528.5,399.35,"90,07,264","4,23,44,93,701.85","1,53,567"
ITC,13-Dec-24,EQ,460,474.4,451.65,460.6,471,470,464.46,528.5,399.35,"3,17,53,858","14,74,84,33,018.55","2,49,426"
ITC,12-Dec-24,EQ,465.5,467.9,459.15,465.25,460.85,460.6,462.32,528.5,399.35,"1,28,84,401","5,95,67,25,495.60","1,65,742"
ITC,11-Dec-24,EQ,467.2,468.2,464.7,465.45,465.25,465.25,466.13,528.5,399.35,"67,45,816","3,14,44,31,682.05","1,08,407"
ITC,10-Dec-24,EQ,465.35,466.45,462.6,464.95,465.35,465.45,464.64,528.5,399.35,"88,23,805","4,09,99,16,466.30","1,37,180"
ITC,09-Dec-24,EQ,471.5,472,462.95,471.15,465.2,464.95,467.02,528.5,399.35,"1,17,03,384","5,46,56,95,132.70","1,60,632"
ITC,06-Dec-24,EQ,470,474.95,467.7,467.5,471.95,471.15,472.38,528.5,399.35,"75,51,407","3,56,71,34,560.35","1,18,458"
ITC,05-Dec-24,EQ,467.55,472.75,462.5,467.1,467.7,467.5,468,528.5,399.35,"2,64,15,053","12,36,22,22,644.55","2,80,989"
ITC,04-Dec-24,EQ,474.4,478.2,466.4,472.55,467.2,467.1,470.88,528.5,399.35,"1,34,39,484","6,32,83,46,244.15","1,84,751"
ITC,03-Dec-24,EQ,466,473.4,462.75,477.2,472.55,472.55,469.06,528.5,399.35,"2,22,18,251","10,42,16,81,081.05","2,89,294"
ITC,02-Dec-24,EQ,476,479.3,473.4,476.75,477.4,477.2,476.84,528.5,399.35,"54,78,598","2,61,23,98,108.20","1,05,775"
ITC,29-Nov-24,EQ,473.2,478.9,472.6,474.9,477,476.75,476.39,528.5,399.35,"83,46,687","3,97,63,06,074.10","1,26,718"
ITC,28-Nov-24,EQ,477,483.8,470.55,476.95,475.55,474.9,476.02,528.5,399.35,"1,44,12,539","6,86,05,90,338.25","1,97,328"
ITC,27-Nov-24,EQ,477.5,480.1,473,477,476.95,476.95,475.67,528.5,399.35,"70,67,013","3,36,15,55,101.90","92,526"
ITC,26-Nov-24,EQ,480,482.65,474.1,476.8,477,477,476.76,528.5,399.35,"65,39,846","3,11,79,27,466.80","1,24,209"
ITC,25-Nov-24,EQ,479,482.2,472.4,474.65,478.15,476.8,476.97,528.5,399.35,"1,38,91,991","6,62,60,51,098.65","1,37,597"
ITC,22-Nov-24,EQ,456.2,476.5,455.5,457.15,474,474.65,465.47,528.5,399.35,"1,94,64,568","9,06,02,24,659.45","1,78,132"
ITC,21-Nov-24,EQ,461,464.05,455.4,467.35,457,457.15,458.53,528.5,399.35,"1,95,59,847","8,96,87,97,499.25","2,36,495"
ITC,19-Nov-24,EQ,468,473.75,466.25,466.55,466.6,467.35,471.03,528.5,399.35,"68,57,374","3,23,00,38,399.65","1,11,105"
ITC,18-Nov-24,EQ,466,467.8,462,465.95,467.4,466.55,464.79,528.5,399.35,"81,35,260","3,78,11,91,097.20","1,83,896"
ITC,14-Nov-24,EQ,471.2,472.95,462.25,472.2,467,465.95,465.91,528.5,399.35,"1,16,39,562","5,42,29,31,558.70","2,30,824"
ITC,13-Nov-24,EQ,470.05,474.7,468.25,472.85,472,472.2,471.96,528.5,399.35,"1,11,20,381","5,24,84,10,369.00","1,88,101"
ITC,12-Nov-24,EQ,477.6,477.95,471.15,476.95,471.9,472.85,474.91,528.5,399.35,"50,41,916","2,39,44,32,824.50","1,29,476"
ITC,11-Nov-24,EQ,478.05,481.5,474.1,478.05,477.3,476.95,478.38,528.5,399.35,"54,88,948","2,62,58,14,462.70","1,23,605"
ITC,08-Nov-24,EQ,477.9,480.7,474.6,477.9,478.8,478.05,477.78,528.5,399.35,"60,90,462","2,90,99,20,473.35","1,05,996"
ITC,07-Nov-24,EQ,481.75,482.7,476.1,481.1,478,477.9,477.82,528.5,399.35,"89,24,280","4,26,41,65,090.20","1,32,407"
ITC,06-Nov-24,EQ,480.2,484.4,478,480.2,481.95,481.1,480.83,528.5,399.35,"1,13,13,985","5,44,01,09,205.55","1,40,673"
ITC,05-Nov-24,EQ,482.95,485.05,476.95,484.6,480.95,480.2,479.98,528.5,399.35,"73,27,830","3,51,72,42,119.05","1,50,450"
ITC,04-Nov-24,EQ,493.45,493.45,479.55,490.3,485.25,484.6,483.55,528.5,399.35,"84,29,731","4,07,61,59,422.90","1,70,904"
ITC,01-Nov-24,EQ,491,492.1,489.3,488.8,489.95,490.3,490.89,528.5,399.35,"14,61,602","71,74,91,831.90","54,687"
ITC,31-Oct-24,EQ,492,493,484.7,491.55,489.25,488.8,487.8,528.5,399.35,"78,10,874","3,81,01,27,063.40","1,61,609"
ITC,30-Oct-24,EQ,487.95,493.25,486.5,487.95,491.8,491.55,490.85,528.5,399.35,"63,93,835","3,13,83,98,995.85","92,835"
ITC,29-Oct-24,EQ,485,489.2,481.3,484.15,488,487.95,486.12,528.5,399.35,"68,66,704","3,33,80,33,179.65","1,11,564"
ITC,28-Oct-24,EQ,481.95,485.9,476,482.3,484,484.15,482.79,528.5,399.35,"86,14,446","4,15,89,85,648.85","1,13,970"
ITC,25-Oct-24,EQ,475.8,493.5,474.2,471.7,482.25,482.3,486.29,528.5,399.35,"3,09,61,625","15,05,62,61,874.00","3,79,810"
ITC,24-Oct-24,EQ,482,482.4,470,480.35,470.7,471.7,474.32,528.5,399.35,"1,30,92,399","6,20,99,65,225.20","2,40,152"
ITC,23-Oct-24,EQ,481,483.3,479.5,481.8,480.7,480.35,480.88,528.5,399.35,"1,01,62,570","4,88,70,14,877.45","1,30,143"
ITC,22-Oct-24,EQ,483.65,488.4,480.8,483.65,482.5,481.8,483.8,528.5,399.35,"1,22,99,288","5,95,04,54,269.80","1,94,079"
ITC,21-Oct-24,EQ,486.7,487.6,477.35,486.7,483.1,483.65,483.4,528.5,399.35,"73,95,274","3,57,48,75,531.85","1,35,775"
ITC,18-Oct-24,EQ,488.75,491.55,478.4,488.9,486.15,486.7,482.63,528.5,399.35,"2,17,78,099","10,51,08,19,521.05","1,89,101"
ITC,17-Oct-24,EQ,495,495,488,493.2,489,488.9,490.71,528.5,399.35,"73,85,299","3,62,40,29,088.45","1,06,788"
ITC,16-Oct-24,EQ,496,498.85,492.35,498.55,493.1,493.2,495.3,528.5,399.35,"66,82,083","3,30,96,53,123.20","1,17,691"
ITC,15-Oct-24,EQ,498,499.4,494.5,496.95,498,498.55,497.33,528.5,399.35,"80,37,662","3,99,73,96,320.95","1,18,170"
ITC,14-Oct-24,EQ,491,499,488.65,488.2,496.75,496.95,495.16,528.5,399.35,"67,12,103","3,32,35,90,493.55","1,28,200"
ITC,11-Oct-24,EQ,493,493.95,487.4,492.05,488.95,488.2,489.06,528.5,399.35,"1,43,94,986","7,03,99,78,268.90","1,58,339"
ITC,10-Oct-24,EQ,495.35,495.65,489.45,491.7,493,492.05,492.72,528.5,399.35,"1,27,99,333","6,30,64,80,747.25","1,99,193"
ITC,09-Oct-24,EQ,509.8,509.8,490.55,507.95,492.5,491.7,499.12,528.5,399.35,"2,39,52,459","11,95,51,85,952.75","2,78,280"
ITC,08-Oct-24,EQ,510,512.55,506,510.2,508.5,507.95,508.84,528.5,399.35,"95,02,367","4,83,52,22,369.05","1,40,127"
ITC,07-Oct-24,EQ,507,514.95,506.75,503.55,510,510.2,511.03,528.5,399.35,"1,64,79,772","8,42,16,88,874.45","2,16,682"
ITC,04-Oct-24,EQ,510,517.35,501.55,512.75,504.75,503.55,509.93,528.5,399.35,"1,82,28,912","9,29,54,09,035.50","2,92,636"
ITC,03-Oct-24,EQ,508.55,515.7,508.1,516.2,511.75,512.75,512.47,528.5,399.35,"1,58,70,147","8,13,29,38,477.90","2,27,553"
ITC,01-Oct-24,EQ,518.15,519.75,514,518.15,516.5,516.2,515.9,528.5,399.35,"50,89,315","2,62,55,80,578.35","1,09,488"
ITC,30-Sep-24,EQ,520.6,524.35,514.05,522.7,518.25,518.15,518.56,528.5,399.35,"1,05,31,347","5,46,11,48,445.10","1,63,844"
ITC,27-Sep-24,EQ,520.25,528.5,520.25,522.75,521.7,522.7,524.14,528.5,399.35,"1,72,51,962","9,04,23,61,720.15","1,69,240"
ITC,26-Sep-24,EQ,517.65,523.75,517,517.55,522.25,522.75,521.19,523.75,399.35,"1,54,89,991","8,07,31,86,016.75","2,03,237"
ITC,25-Sep-24,EQ,515.5,519.3,512.3,515.25,517.65,517.55,515.67,520.5,399.35,"84,76,223","4,37,09,74,903.20","1,55,236"
ITC,24-Sep-24,EQ,517,517.8,514.15,516.95,515.5,515.25,515.47,520.5,399.35,"67,55,320","3,48,21,95,547.40","1,21,014"
ITC,23-Sep-24,EQ,515.45,519.45,513.6,514.4,516.75,516.95,516.88,520.5,399.35,"78,04,918","4,03,42,41,784.00","1,30,984"
ITC,20-Sep-24,EQ,512,517.35,508,508.25,514.15,514.4,513.97,520.5,399.35,"2,38,08,194","12,23,67,58,568.15","2,31,527"
ITC,19-Sep-24,EQ,510,514.8,507.5,507.35,508.6,508.25,510.59,520.5,399.35,"1,39,25,311","7,11,00,66,899.10","2,26,927"
ITC,18-Sep-24,EQ,507.85,512.4,505.1,507.75,506.75,507.35,509.15,520.5,399.35,"54,29,619","2,76,45,06,352.10","98,908"
ITC,17-Sep-24,EQ,511.05,513.55,506.25,511.1,508.25,507.75,508.55,520.5,399.35,"1,04,86,015","5,33,26,81,431.45","1,13,046"
ITC,16-Sep-24,EQ,515.9,517,509.7,513.85,509.95,511.1,513.15,520.5,399.35,"75,31,604","3,86,48,31,357.30","80,552"
ITC,13-Sep-24,EQ,519.5,520,512,519.5,513.65,513.85,513.81,520.5,399.35,"88,25,193","4,53,44,84,027.05","1,39,096"
ITC,12-Sep-24,EQ,515.1,520.5,508.55,514.35,518.05,519.5,515.6,520.5,399.35,"1,83,77,550","9,47,54,61,095.90","2,08,255"
ITC,11-Sep-24,EQ,513,519.5,511.95,513.6,513.1,514.35,516.48,519.5,399.35,"1,49,22,832","7,70,72,78,241.50","2,58,825"
ITC,10-Sep-24,EQ,511.9,515,508.75,511.75,512.9,513.6,512.86,515.95,399.35,"1,09,11,995","5,59,63,26,541.20","1,73,370"
ITC,09-Sep-24,EQ,502,512.65,500.35,501.7,511.5,511.75,509.47,515.95,399.35,"1,37,36,044","6,99,80,44,346.50","1,91,706"
ITC,06-Sep-24,EQ,512,512,497.15,511.2,502.45,501.7,502.2,515.95,399.35,"1,37,16,752","6,88,85,30,757.30","2,26,806"
ITC,05-Sep-24,EQ,508.35,511.9,507.05,506.35,511.25,511.2,510.32,515.95,399.35,"1,08,98,888","5,56,19,02,271.30","1,37,332"
ITC,04-Sep-24,EQ,500,510.05,499.95,509.4,507.45,506.35,506.14,515.95,399.35,"84,14,967","4,25,91,22,977.75","1,44,592"
ITC,03-Sep-24,EQ,510.05,515.95,507.9,510.05,508.6,509.4,512.57,515.95,399.35,"1,20,18,677","6,16,03,57,721.90","1,86,272"
ITC,02-Sep-24,EQ,504,512.9,503.3,501.9,509.85,510.05,509.98,512.9,399.35,"1,58,85,469","8,10,12,52,606.15","2,15,525"
ITC,30-Aug-24,EQ,501.95,509.15,500.2,505.1,504,501.9,502.57,510.65,399.35,"1,49,47,670","7,51,22,53,452.80","1,49,051"
ITC,29-Aug-24,EQ,498,507.7,497.35,497.3,505,505.1,503.72,510.65,399.35,"1,86,70,632","9,40,48,44,586.20","2,03,893"
ITC,28-Aug-24,EQ,500.4,502.3,496.5,500.6,500.15,497.3,498.8,510.65,399.35,"77,82,216","3,88,17,94,042.20","1,28,939"
ITC,27-Aug-24,EQ,507.55,507.6,500,505.7,500.4,500.6,502.17,510.65,399.35,"79,54,114","3,99,43,35,939.60","1,23,723"
ITC,26-Aug-24,EQ,506,508,502,505.8,505.7,505.7,505.93,510.65,399.35,"78,25,037","3,95,89,00,282.55","1,48,265"
ITC,23-Aug-24,EQ,505.05,506.95,499.95,504.55,505.4,505.8,504.2,510.65,399.35,"78,91,446","3,97,88,80,053.35","1,08,800"
ITC,22-Aug-24,EQ,507.85,508.5,501.45,505.4,505.05,504.55,504.67,510.65,399.35,"83,64,290","4,22,12,24,253.25","1,45,029"
ITC,21-Aug-24,EQ,500,509,499.05,498.8,505.8,505.4,505.03,510.65,399.35,"84,74,830","4,28,00,48,280.45","1,21,930"
ITC,20-Aug-24,EQ,501,503.4,497.7,501.45,498.5,498.8,499.95,510.65,399.35,"66,33,171","3,31,62,78,832.00","1,15,083"
ITC,19-Aug-24,EQ,504.75,509.3,499.6,502.65,499.95,501.45,504.39,510.65,399.35,"1,01,98,725","5,14,41,20,039.10","1,66,648"
ITC,16-Aug-24,EQ,494.5,504.2,492.65,492.2,502.05,502.65,498.53,510.65,399.35,"1,31,37,392","6,54,94,43,406.85","1,64,043"
ITC,14-Aug-24,EQ,491.95,499,489.9,490,492.55,492.2,494.04,510.65,399.35,"92,53,598","4,57,16,25,348.00","1,50,643"
ITC,13-Aug-24,EQ,495.95,497.85,488.25,494.6,491.5,490,493.29,510.65,399.35,"77,57,706","3,82,67,62,550.05","1,19,952"
ITC,12-Aug-24,EQ,492,500,492,495.9,494.4,494.6,497.04,510.65,399.35,"90,76,097","4,51,11,89,537.95","1,33,143"
ITC,09-Aug-24,EQ,498,498,493.1,494.75,496.15,495.9,495.38,510.65,399.35,"92,01,793","4,55,83,87,017.25","1,44,367"
ITC,08-Aug-24,EQ,494,498,492.5,492.65,494.15,494.75,494.99,510.65,399.35,"2,05,58,134","10,17,59,99,936.05","2,50,724"
ITC,07-Aug-24,EQ,490,495.6,488.1,486.3,492.75,492.65,491.96,510.65,399.35,"1,09,00,585","5,36,26,50,358.25","1,73,490"
ITC,06-Aug-24,EQ,486.25,491.7,484.05,486,487.8,486.3,487.52,510.65,399.35,"1,37,22,855","6,69,01,15,892.10","1,65,576"
ITC,05-Aug-24,EQ,480.05,491.9,479.55,489.1,485.9,486,485.81,510.65,399.35,"2,40,94,139","11,70,52,82,411.05","2,40,878"
ITC,02-Aug-24,EQ,484.8,499.45,484.8,493.7,488.85,489.1,491.08,510.65,399.35,"2,13,20,064","10,46,99,40,924.65","2,53,754"
ITC,01-Aug-24,EQ,495.95,496.75,490.95,495.35,493.05,493.7,493.72,510.65,399.35,"1,16,65,529","5,75,95,53,105.75","1,67,982"
ITC,31-Jul-24,EQ,492.45,497.95,490.5,489.9,495.5,495.35,494.03,510.65,399.35,"1,15,38,215","5,70,02,70,817.40","1,84,885"
ITC,30-Jul-24,EQ,496.3,497.8,488.65,496.05,490.5,489.9,491.81,510.65,399.35,"1,33,75,906","6,57,84,25,923.00","1,71,911"
ITC,29-Jul-24,EQ,505.5,506.2,494.05,502.2,496.25,496.05,498.4,510.65,399.35,"1,24,96,895","6,22,84,64,277.80","1,59,533"
ITC,26-Jul-24,EQ,494.05,506.4,487.4,489.95,501.55,502.2,498.22,510.65,399.35,"2,07,36,094","10,33,10,62,809.70","2,04,107"
ITC,25-Jul-24,EQ,490,496,484.65,494.05,490.2,489.95,490.32,510.65,399.35,"1,78,78,994","8,76,63,83,593.60","2,27,325"
ITC,24-Jul-24,EQ,496,510.65,490.65,492.2,494,494.05,500.33,510.65,399.35,"4,20,73,323","21,05,06,81,452.40","4,00,376"
ITC,23-Jul-24,EQ,466.55,497.4,466.4,466.55,496.95,492.2,483.29,499.7,399.35,"5,40,44,423","26,11,89,22,052.35","4,99,337"
ITC,22-Jul-24,EQ,474.6,479.45,465.85,474.55,466.3,466.55,470.1,499.7,399.35,"1,80,66,586","8,49,30,64,235.35","2,32,860"
ITC,19-Jul-24,EQ,471,479.4,469.4,470.25,473.15,474.55,474.65,499.7,399.35,"2,49,77,373","11,85,53,89,560.85","2,68,257"
ITC,18-Jul-24,EQ,463,470.9,462.65,465.55,470.5,470.25,467.91,499.7,399.35,"2,10,94,737","9,87,03,74,413.50","1,96,712"
ITC,16-Jul-24,EQ,463.45,466.75,461.4,463.4,465.7,465.55,464.53,499.7,399.35,"1,29,96,711","6,03,73,70,502.75","1,37,391"
ITC,15-Jul-24,EQ,459.05,466.45,457.2,459.05,462.05,463.4,462.88,499.7,399.35,"1,62,51,032","7,52,23,28,040.60","1,54,358"
ITC,12-Jul-24,EQ,458.65,463.25,455.85,458.65,459.05,459.05,458.95,499.7,399.35,"1,89,62,800","8,70,30,17,234.70","2,15,367"
ITC,11-Jul-24,EQ,450,459.5,448.7,451.45,458.6,458.65,456.02,499.7,399.35,"1,88,31,345","8,58,74,37,642.70","2,83,781"
ITC,10-Jul-24,EQ,453.7,455.35,446.5,452.6,450.3,451.45,450.95,499.7,399.35,"1,16,18,210","5,23,92,57,713.55","1,55,469"
ITC,09-Jul-24,EQ,447.6,455,444,443.6,451.5,452.6,450.54,499.7,399.35,"2,64,70,260","11,92,59,76,364.80","2,40,760"
ITC,08-Jul-24,EQ,435.15,444.55,433.65,433.65,443.8,443.6,439.76,499.7,399.35,"2,05,21,107","9,02,44,61,950.65","1,94,693"
ITC,05-Jul-24,EQ,429,434,427.6,429.05,433.5,433.65,431.98,499.7,399.35,"1,29,29,586","5,58,53,59,681.40","1,51,709"
ITC,04-Jul-24,EQ,430,431.5,427.05,428.3,429.25,429.05,429.39,499.7,399.35,"91,27,340","3,91,91,90,556.65","1,25,047"
ITC,03-Jul-24,EQ,426.1,429.65,425.5,425.5,428.5,428.3,427.88,499.7,399.35,"71,59,756","3,06,35,03,681.75","1,16,001"
ITC,02-Jul-24,EQ,430,430.65,422.55,429.05,425.75,425.5,426.86,499.7,399.35,"1,07,63,335","4,59,44,02,665.60","1,74,096"
ITC,01-Jul-24,EQ,426.3,430.25,424.65,424.9,428.5,429.05,427.61,499.7,399.35,"1,28,94,747","5,51,39,76,701.35","1,32,870"
