Company,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
L&T,31-Dec-24,EQ,"3,562.55","3,620.60","3,550.00","3,578.95","3,609.95","3,607.65","3,593.79","3,963.50","3,175.05","12,67,628","4,55,55,87,428.95","98,165"
L&T,30-Dec-24,EQ,"3,607.90","3,623.00","3,566.00","3,608.10","3,590.00","3,578.95","3,590.43","3,963.50","3,175.05","15,91,690","5,71,48,56,382.30","99,927"
L&T,27-Dec-24,EQ,"3,632.40","3,643.65","3,603.50","3,629.50","3,610.65","3,608.10","3,617.13","3,963.50","3,175.05","13,09,122","4,73,52,58,789.05","75,927"
L&T,26-Dec-24,EQ,"3,658.00","3,665.15","3,610.35","3,639.75","3,632.40","3,629.50","3,634.04","3,963.50","3,175.05","11,24,705","4,08,72,19,624.30","80,516"
L&T,24-Dec-24,EQ,"3,647.95","3,679.00","3,632.40","3,640.50","3,633.00","3,639.75","3,651.50","3,963.50","3,175.05","6,27,922","2,29,28,60,072.10","71,920"
L&T,23-Dec-24,EQ,"3,670.00","3,700.00","3,617.05","3,629.85","3,642.90","3,640.50","3,644.90","3,963.50","3,175.05","12,17,612","4,43,80,75,173.95","1,07,539"
L&T,20-Dec-24,EQ,"3,716.35","3,725.00","3,607.10","3,716.35","3,629.00","3,629.85","3,654.85","3,963.50","3,175.05","27,96,593","10,22,11,32,562.15","1,54,712"
L&T,19-Dec-24,EQ,"3,702.15","3,762.20","3,700.00","3,758.15","3,713.15","3,716.35","3,724.67","3,963.50","3,175.05","18,56,838","6,91,61,14,961.40","1,42,412"
L&T,18-Dec-24,EQ,"3,807.20","3,819.00","3,745.00","3,807.20","3,760.40","3,758.15","3,763.15","3,963.50","3,175.05","13,18,341","4,96,11,15,143.30","1,20,658"
L&T,17-Dec-24,EQ,"3,863.05","3,875.40","3,797.00","3,877.85","3,802.95","3,807.20","3,818.67","3,963.50","3,175.05","16,90,180","6,45,42,42,086.40","1,16,461"
L&T,16-Dec-24,EQ,"3,882.00","3,914.40","3,857.25","3,887.00","3,872.30","3,877.85","3,877.81","3,963.50","3,175.05","9,18,660","3,56,23,89,173.30","81,821"
