Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-24,EQ,"1,208.00","1,219.10","1,206.15","1,210.70","1,216.40","1,215.45","1,213.08","3,217.60","1,201.50","64,05,475","7,77,03,38,353.90","1,80,916"
30-Dec-24,EQ,"1,216.40","1,223.20","1,208.10","1,221.05","1,211.50","1,210.70","1,214.71","3,217.60","1,201.50","88,18,766","10,71,22,29,377.50","3,08,317"
27-Dec-24,EQ,"1,218.30","1,227.90","1,217.00","1,216.55","1,221.50","1,221.05","1,223.20","3,217.60","1,201.50","70,00,397","8,56,28,95,530.20","1,74,882"
26-Dec-24,EQ,"1,224.25","1,227.70","1,214.25","1,222.75","1,217.00","1,216.55","1,219.74","3,217.60","1,201.50","1,00,16,178","12,21,71,76,986.80","2,56,436"
24-Dec-24,EQ,"1,222.30","1,233.55","1,221.00","1,222.30","1,224.20","1,222.75","1,227.14","3,217.60","1,201.50","67,34,917","8,26,46,75,853.25","2,07,746"
23-Dec-24,EQ,"1,215.00","1,227.20","1,213.20","1,205.30","1,223.85","1,222.30","1,219.77","3,217.60","1,201.50","1,00,52,824","12,26,20,91,651.05","2,58,756"
20-Dec-24,EQ,"1,224.00","1,239.50","1,201.50","1,230.45","1,206.00","1,205.30","1,215.95","3,217.60","1,201.50","2,03,12,896","24,69,94,97,247.50","4,99,900"
19-Dec-24,EQ,"1,239.00","1,244.90","1,229.00","1,253.25","1,230.50","1,230.45","1,235.73","3,217.60","1,217.25","1,42,44,653","17,60,25,40,036.00","5,03,893"
18-Dec-24,EQ,"1,240.65","1,259.95","1,240.65","1,245.30","1,254.35","1,253.25","1,252.58","3,217.60","1,217.25","1,26,70,179","15,87,03,98,087.10","2,66,155"
17-Dec-24,EQ,"1,261.05","1,263.90","1,242.80","1,268.30","1,244.70","1,245.30","1,249.22","3,217.60","1,217.25","1,74,62,791","21,81,47,94,516.85","4,81,698"
16-Dec-24,EQ,"1,275.00","1,281.00","1,266.55","1,272.85","1,268.40","1,268.30","1,271.94","3,217.60","1,217.25","94,86,781","12,06,66,29,924.30","2,24,571"
13-Dec-24,EQ,"1,260.00","1,275.20","1,239.60","1,262.90","1,274.45","1,272.85","1,257.50","3,217.60","1,217.25","2,86,30,222","36,00,26,21,429.30","4,82,467"
12-Dec-24,EQ,"1,270.00","1,278.20","1,260.60","1,278.20","1,261.30","1,262.90","1,265.58","3,217.60","1,217.25","2,09,06,813","26,45,91,66,488.55","3,63,205"
11-Dec-24,EQ,"1,285.00","1,290.00","1,276.05","1,284.85","1,279.00","1,278.20","1,282.33","3,217.60","1,217.25","1,17,24,373","15,03,44,57,832.65","2,72,365"
10-Dec-24,EQ,"1,289.25","1,294.90","1,280.20","1,295.15","1,285.95","1,284.85","1,286.46","3,217.60","1,217.25","1,60,43,729","20,63,95,94,557.20","4,56,341"
09-Dec-24,EQ,"1,303.00","1,315.00","1,293.10","1,311.55","1,296.40","1,295.15","1,304.10","3,217.60","1,217.25","1,46,50,002","19,10,51,10,924.90","2,02,850"
06-Dec-24,EQ,"1,323.90","1,323.90","1,310.00","1,322.05","1,311.60","1,311.55","1,314.49","3,217.60","1,217.25","90,37,514","11,87,97,01,933.90","1,93,736"
05-Dec-24,EQ,"1,314.35","1,329.95","1,306.15","1,308.95","1,320.90","1,322.05","1,319.78","3,217.60","1,217.25","1,68,58,723","22,24,98,86,629.55","3,09,667"
04-Dec-24,EQ,"1,326.00","1,328.40","1,304.05","1,323.30","1,309.50","1,308.95","1,310.74","3,217.60","1,217.25","1,96,08,540","25,70,17,43,568.80","2,50,873"
03-Dec-24,EQ,"1,317.00","1,326.80","1,307.00","1,309.15","1,325.05","1,323.30","1,320.68","3,217.60","1,217.25","1,68,69,482","22,27,92,47,257.55","3,49,204"
02-Dec-24,EQ,"1,288.00","1,311.35","1,277.05","1,292.20","1,310.60","1,309.15","1,298.60","3,217.60","1,217.25","1,10,24,152","14,31,59,72,962.55","2,72,825"
29-Nov-24,EQ,"1,280.00","1,299.50","1,275.25","1,270.80","1,291.50","1,292.20","1,290.83","3,217.60","1,217.25","1,32,02,307","17,04,19,75,591.70","2,80,529"
28-Nov-24,EQ,"1,289.95","1,296.60","1,269.05","1,293.20","1,272.75","1,270.80","1,280.74","3,217.60","1,217.25","1,50,27,412","19,24,61,53,609.30","3,11,959"
27-Nov-24,EQ,"1,293.50","1,303.85","1,286.00","1,295.70","1,293.40","1,293.20","1,293.84","3,217.60","1,217.25","95,72,746","12,38,56,14,506.45","1,96,614"
26-Nov-24,EQ,"1,294.95","1,297.85","1,284.20","1,287.00","1,295.60","1,295.70","1,292.03","3,217.60","1,217.25","92,47,557","11,94,81,33,607.60","2,18,738"
25-Nov-24,EQ,"1,290.00","1,304.45","1,282.45","1,265.40","1,290.95","1,287.00","1,291.52","3,217.60","1,217.25","2,89,23,341","37,35,50,89,803.05","3,90,544"
22-Nov-24,EQ,"1,229.40","1,268.85","1,222.45","1,223.00","1,264.00","1,265.40","1,247.09","3,217.60","1,217.25","2,04,71,957","25,53,04,60,769.30","3,23,219"
21-Nov-24,EQ,"1,241.65","1,243.95","1,217.25","1,241.65","1,220.45","1,223.00","1,224.92","3,217.60","1,217.25","1,94,33,843","23,80,49,02,094.90","5,53,410"
