Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-24,EQ,"1,892.30","1,897.00","1,845.05","1,906.00","1,885.65","1,880.00","1,872.77","2,006.45","1,358.35","36,13,063","6,76,64,28,350.50","1,50,014"
30-Dec-24,EQ,"1,915.70","1,916.00","1,886.50","1,916.75","1,898.45","1,906.00","1,903.27","2,006.45","1,358.35","77,89,055","14,82,47,04,664.65","1,80,342"
27-Dec-24,EQ,"1,909.40","1,924.15","1,903.90","1,907.40","1,917.00","1,916.75","1,912.07","2,006.45","1,358.35","39,37,500","7,52,87,76,747.25","1,08,688"
26-Dec-24,EQ,"1,909.05","1,919.75","1,902.30","1,909.05","1,909.00","1,907.40","1,908.04","2,006.45","1,358.35","36,23,321","6,91,34,42,832.95","1,23,979"
24-Dec-24,EQ,"1,927.05","1,942.00","1,840.00","1,924.30","1,903.35","1,909.05","1,918.59","2,006.45","1,358.35","23,60,544","4,52,89,21,027.25","93,412"
23-Dec-24,EQ,"1,930.05","1,940.00","1,909.00","1,922.15","1,921.00","1,924.30","1,923.61","2,006.45","1,358.35","27,81,793","5,35,10,92,778.15","1,27,723"
20-Dec-24,EQ,"1,975.15","1,979.95","1,911.25","1,946.20","1,927.80","1,922.15","1,932.55","2,006.45","1,358.35","1,10,56,720","21,36,76,88,611.40","2,70,540"
19-Dec-24,EQ,"1,934.00","1,959.75","1,920.00","1,979.15","1,948.50","1,946.20","1,940.72","2,006.45","1,358.35","53,23,592","10,33,16,27,136.20","1,97,114"
18-Dec-24,EQ,"1,966.80","1,984.95","1,961.60","1,976.60","1,979.00","1,979.15","1,976.08","2,006.45","1,358.35","30,64,095","6,05,49,11,475.20","1,38,618"
17-Dec-24,EQ,"1,968.00","1,982.00","1,958.00","1,980.05","1,974.00","1,976.60","1,971.86","2,006.45","1,358.35","58,11,050","11,45,85,71,096.45","2,43,202"
16-Dec-24,EQ,"1,995.45","1,999.60","1,977.60","1,999.70","1,979.20","1,980.05","1,985.38","2,006.45","1,358.35","31,19,221","6,19,28,34,340.70","1,58,954"
13-Dec-24,EQ,"1,969.75","2,006.45","1,953.80","1,987.00","1,999.00","1,999.70","1,985.40","2,006.45","1,358.35","53,62,693","10,64,70,66,758.55","2,43,211"
12-Dec-24,EQ,"1,975.20","1,998.80","1,970.55","1,974.15","1,985.10","1,987.00","1,989.23","1,998.80","1,358.35","64,62,130","12,85,46,35,035.90","2,86,504"
11-Dec-24,EQ,"1,955.00","1,978.00","1,952.00","1,948.55","1,967.30","1,974.15","1,968.23","1,991.45","1,358.35","50,25,612","9,89,15,78,979.60","2,01,273"
10-Dec-24,EQ,"1,939.00","1,965.60","1,932.00","1,923.65","1,947.10","1,948.55","1,947.08","1,991.45","1,358.35","61,74,921","12,02,30,85,384.00","2,19,707"
09-Dec-24,EQ,"1,924.20","1,930.20","1,897.20","1,922.40","1,926.95","1,923.65","1,912.43","1,991.45","1,358.35","42,74,645","8,17,49,59,449.55","1,69,220"
06-Dec-24,EQ,"1,932.80","1,937.95","1,912.40","1,934.85","1,919.00","1,922.40","1,921.54","1,991.45","1,358.35","35,73,331","6,86,63,14,025.75","1,33,773"
05-Dec-24,EQ,"1,900.00","1,949.90","1,888.95","1,889.25","1,935.00","1,934.85","1,925.05","1,991.45","1,358.35","90,50,038","17,42,17,67,118.35","3,00,510"
04-Dec-24,EQ,"1,884.00","1,913.95","1,875.00","1,892.10","1,892.00","1,889.25","1,895.14","1,991.45","1,358.35","47,05,573","8,91,77,17,924.90","2,15,259"
03-Dec-24,EQ,"1,887.00","1,899.75","1,871.15","1,879.80","1,890.00","1,892.10","1,891.36","1,991.45","1,358.35","47,15,792","8,91,92,59,125.80","1,65,988"
02-Dec-24,EQ,"1,859.00","1,882.80","1,835.20","1,857.85","1,877.45","1,879.80","1,868.92","1,991.45","1,358.35","28,68,263","5,36,05,64,446.55","1,43,774"
29-Nov-24,EQ,"1,851.10","1,877.00","1,845.00","1,856.65","1,856.95","1,857.85","1,859.93","1,991.45","1,358.35","52,44,346","9,75,41,22,115.25","2,17,020"
28-Nov-24,EQ,"1,914.90","1,914.90","1,851.65","1,924.50","1,860.30","1,856.65","1,869.78","1,991.45","1,358.35","84,68,790","15,83,47,48,613.30","2,84,687"
27-Nov-24,EQ,"1,930.10","1,941.40","1,911.75","1,924.15","1,927.00","1,924.50","1,926.81","1,991.45","1,358.35","44,47,143","8,56,87,81,533.80","1,46,524"
26-Nov-24,EQ,"1,904.95","1,938.60","1,897.30","1,889.70","1,920.20","1,924.15","1,926.35","1,991.45","1,358.35","68,50,495","13,19,64,71,061.70","3,12,960"
25-Nov-24,EQ,"1,916.00","1,919.30","1,882.00","1,902.25","1,891.00","1,889.70","1,890.66","1,991.45","1,358.35","1,27,64,638","24,13,35,84,391.95","1,96,770"
22-Nov-24,EQ,"1,854.10","1,914.05","1,834.00","1,834.05","1,889.20","1,902.25","1,880.71","1,991.45","1,358.35","63,01,486","11,85,12,97,771.15","1,85,473"
21-Nov-24,EQ,"1,842.00","1,867.00","1,820.60","1,824.75","1,834.00","1,834.05","1,836.76","1,991.45","1,358.35","54,36,504","9,98,55,80,026.60","2,32,740"
19-Nov-24,EQ,"1,825.50","1,859.70","1,820.55","1,811.45","1,822.50","1,824.75","1,839.98","1,991.45","1,358.35","46,69,769","8,59,22,82,283.60","1,42,990"
18-Nov-24,EQ,"1,849.20","1,849.20","1,795.00","1,864.55","1,815.05","1,811.45","1,813.82","1,991.45","1,358.35","48,39,244","8,77,75,30,199.20","2,07,559"
14-Nov-24,EQ,"1,865.60","1,876.00","1,856.00","1,868.40","1,865.00","1,864.55","1,865.97","1,991.45","1,358.35","43,11,431","8,04,50,09,313.65","2,06,703"
13-Nov-24,EQ,"1,861.10","1,873.20","1,856.30","1,868.80","1,869.00","1,868.40","1,866.77","1,991.45","1,358.35","42,57,495","7,94,77,52,333.85","1,87,205"
12-Nov-24,EQ,"1,871.10","1,881.00","1,861.00","1,860.10","1,861.00","1,868.80","1,871.65","1,991.45","1,358.35","50,12,450","9,38,15,50,004.50","1,82,346"
11-Nov-24,EQ,"1,829.00","1,868.00","1,822.55","1,829.95","1,859.05","1,860.10","1,855.73","1,991.45","1,358.35","38,04,234","7,05,96,43,882.45","2,40,025"
08-Nov-24,EQ,"1,818.00","1,840.60","1,813.15","1,803.05","1,825.95","1,829.95","1,832.23","1,991.45","1,358.35","42,10,960","7,71,54,46,613.70","1,99,379"
07-Nov-24,EQ,"1,812.95","1,825.70","1,787.00","1,823.70","1,802.85","1,803.05","1,802.49","1,991.45","1,358.35","45,50,965","8,20,30,53,863.70","2,74,916"
06-Nov-24,EQ,"1,764.00","1,827.20","1,762.65","1,754.20","1,821.00","1,823.70","1,809.14","1,991.45","1,358.35","1,04,21,494","18,85,39,55,667.25","3,05,870"
05-Nov-24,EQ,"1,760.00","1,768.45","1,745.00","1,763.65","1,753.00","1,754.20","1,754.19","1,991.45","1,358.35","31,60,880","5,54,47,81,198.40","1,68,160"
04-Nov-24,EQ,"1,724.50","1,767.00","1,718.00","1,760.85","1,763.05","1,763.65","1,742.20","1,991.45","1,358.35","73,36,722","12,78,20,53,575.35","2,37,541"
01-Nov-24,EQ,"1,764.50","1,766.00","1,752.05","1,757.25","1,755.60","1,760.85","1,761.68","1,991.45","1,351.65","3,71,966","65,52,84,656.85","29,613"
31-Oct-24,EQ,"1,787.90","1,787.90","1,746.50","1,802.10","1,762.95","1,757.25","1,759.11","1,991.45","1,351.65","73,95,236","13,00,90,50,347.40","2,83,103"
30-Oct-24,EQ,"1,832.00","1,839.00","1,796.35","1,839.30","1,798.80","1,802.10","1,813.08","1,991.45","1,351.65","59,19,715","10,73,29,32,366.35","2,21,376"
29-Oct-24,EQ,"1,846.00","1,851.60","1,829.00","1,865.35","1,839.95","1,839.30","1,840.82","1,991.45","1,351.65","46,21,252","8,50,68,71,719.80","1,57,581"
28-Oct-24,EQ,"1,859.70","1,881.90","1,857.00","1,862.05","1,865.00","1,865.35","1,872.16","1,991.45","1,351.65","70,18,940","13,14,06,01,455.55","1,57,551"
25-Oct-24,EQ,"1,863.45","1,876.35","1,846.40","1,863.35","1,866.00","1,862.05","1,861.41","1,991.45","1,351.65","46,89,120","8,72,83,92,271.00","1,81,283"
24-Oct-24,EQ,"1,861.40","1,884.00","1,860.00","1,873.40","1,863.60","1,863.35","1,866.54","1,991.45","1,351.65","29,06,475","5,42,50,65,456.80","1,37,718"
23-Oct-24,EQ,"1,845.25","1,886.00","1,844.00","1,851.60","1,868.30","1,873.40","1,872.18","1,991.45","1,351.65","43,11,910","8,07,26,63,538.05","1,77,546"
22-Oct-24,EQ,"1,858.20","1,877.80","1,846.95","1,852.75","1,853.55","1,851.60","1,858.27","1,991.45","1,351.65","41,25,240","7,66,57,99,770.25","1,89,972"
21-Oct-24,EQ,"1,891.10","1,898.80","1,838.00","1,879.60","1,850.10","1,852.75","1,856.08","1,991.45","1,351.65","46,54,601","8,63,93,26,330.60","1,85,546"
18-Oct-24,EQ,"1,893.80","1,936.85","1,869.25","1,968.10","1,885.00","1,879.60","1,891.59","1,991.45","1,351.65","1,05,26,196","19,91,12,46,940.10","3,35,832"
17-Oct-24,EQ,"1,935.20","1,978.00","1,930.15","1,920.10","1,974.55","1,968.10","1,957.70","1,991.45","1,351.65","81,62,822","15,98,03,88,201.05","2,95,717"
16-Oct-24,EQ,"1,955.00","1,959.55","1,916.35","1,959.30","1,918.10","1,920.10","1,937.33","1,991.45","1,351.65","31,11,512","6,02,80,23,137.55","1,39,457"
15-Oct-24,EQ,"1,960.00","1,991.45","1,951.75","1,958.90","1,960.00","1,959.30","1,965.59","1,991.45","1,351.65","53,53,705","10,52,31,64,056.35","1,84,609"
14-Oct-24,EQ,"1,932.15","1,969.50","1,931.10","1,935.10","1,966.00","1,958.90","1,957.08","1,977.00","1,351.65","37,51,378","7,34,17,34,867.25","2,42,164"
11-Oct-24,EQ,"1,918.00","1,947.00","1,910.10","1,919.00","1,935.00","1,935.10","1,932.54","1,977.00","1,351.65","47,09,431","9,10,11,57,285.95","2,09,438"
10-Oct-24,EQ,"1,957.90","1,964.00","1,914.10","1,952.75","1,917.55","1,919.00","1,934.31","1,977.00","1,351.65","47,82,119","9,25,00,80,166.00","1,87,711"
09-Oct-24,EQ,"1,952.55","1,977.00","1,945.10","1,948.55","1,959.00","1,952.75","1,961.35","1,977.00","1,351.65","48,57,163","9,52,66,13,749.45","2,40,629"
08-Oct-24,EQ,"1,937.90","1,957.95","1,906.35","1,934.30","1,945.95","1,948.55","1,937.77","1,975.75","1,351.65","56,37,391","10,92,39,47,722.80","3,01,214"
07-Oct-24,EQ,"1,923.20","1,942.00","1,916.05","1,918.15","1,930.15","1,934.30","1,932.07","1,975.75","1,351.65","61,12,575","11,80,99,11,119.45","2,32,953"
04-Oct-24,EQ,"1,889.55","1,954.10","1,886.00","1,893.40","1,922.00","1,918.15","1,926.60","1,975.75","1,351.65","1,00,01,483","19,26,89,03,580.40","3,17,341"
03-Oct-24,EQ,"1,889.50","1,911.85","1,881.00","1,904.35","1,889.00","1,893.40","1,895.02","1,975.75","1,351.65","75,03,887","14,22,00,32,273.75","2,79,836"
01-Oct-24,EQ,"1,875.00","1,908.95","1,875.00","1,875.60","1,906.00","1,904.35","1,898.99","1,975.75","1,351.65","40,29,072","7,65,11,53,333.05","1,53,975"
30-Sep-24,EQ,"1,880.00","1,901.25","1,870.50","1,906.75","1,877.60","1,875.60","1,881.30","1,975.75","1,351.65","69,86,955","13,14,45,82,073.90","2,25,929"
27-Sep-24,EQ,"1,932.10","1,974.60","1,903.30","1,900.25","1,908.00","1,906.75","1,926.62","1,975.75","1,351.65","1,49,08,931","28,72,38,92,455.00","3,01,305"
26-Sep-24,EQ,"1,897.80","1,917.95","1,893.00","1,895.30","1,894.00","1,900.25","1,902.94","1,975.75","1,351.65","89,52,803","17,03,66,13,838.85","2,04,902"
25-Sep-24,EQ,"1,886.35","1,901.60","1,876.80","1,898.60","1,900.00","1,895.30","1,889.52","1,975.75","1,351.65","42,68,341","8,06,51,07,237.85","1,73,033"
24-Sep-24,EQ,"1,888.00","1,910.90","1,871.40","1,896.45","1,900.00","1,898.60","1,888.94","1,975.75","1,351.65","72,77,616","13,74,69,48,535.65","1,81,532"
23-Sep-24,EQ,"1,909.00","1,918.90","1,878.45","1,905.75","1,895.00","1,896.45","1,890.26","1,975.75","1,351.65","36,36,672","6,87,42,60,634.45","1,33,793"
20-Sep-24,EQ,"1,905.00","1,915.00","1,867.40","1,894.20","1,910.00","1,905.75","1,902.04","1,975.75","1,351.65","1,52,42,974","28,99,27,78,817.95","3,46,786"
19-Sep-24,EQ,"1,910.60","1,924.90","1,878.80","1,892.15","1,897.00","1,894.20","1,894.84","1,975.75","1,351.65","79,76,570","15,11,43,09,893.55","2,19,801"
18-Sep-24,EQ,"1,938.75","1,938.75","1,881.30","1,952.55","1,892.35","1,892.15","1,898.20","1,975.75","1,351.65","63,85,468","12,12,08,91,191.90","2,52,266"
17-Sep-24,EQ,"1,947.75","1,958.45","1,942.15","1,950.25","1,950.00","1,952.55","1,951.76","1,975.75","1,351.65","27,93,127","5,45,15,01,004.50","1,42,203"
16-Sep-24,EQ,"1,945.75","1,952.00","1,933.05","1,944.10","1,946.00","1,950.25","1,943.67","1,975.75","1,351.65","15,70,181","3,05,19,12,524.40","72,563"
13-Sep-24,EQ,"1,950.45","1,958.60","1,935.65","1,950.45","1,943.00","1,944.10","1,948.85","1,975.75","1,351.65","38,43,127","7,48,96,65,426.75","1,20,139"
12-Sep-24,EQ,"1,925.00","1,956.40","1,910.80","1,910.15","1,943.80","1,950.45","1,933.56","1,975.75","1,351.65","85,55,092","16,54,17,70,366.05","2,19,622"
