Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-24,EQ,"1,735.05","1,796.60","1,735.05","1,740.70","1,785.00","1,786.05","1,781.30","1,942.00","1,543.85","47,31,698","8,42,85,61,946.85","1,50,931"
30-Dec-24,EQ,"1,765.00","1,781.00","1,733.50","1,759.90","1,741.20","1,740.70","1,750.47","1,942.00","1,543.85","55,02,772","9,63,24,26,366.60","1,51,204"
27-Dec-24,EQ,"1,760.00","1,777.20","1,754.00","1,752.80","1,760.05","1,759.90","1,762.95","1,942.00","1,543.85","24,48,271","4,31,61,86,371.90","65,635"
26-Dec-24,EQ,"1,756.80","1,769.45","1,742.05","1,749.05","1,759.15","1,752.80","1,755.21","1,942.00","1,543.85","11,32,006","1,98,69,02,884.85","69,593"
24-Dec-24,EQ,"1,742.55","1,754.65","1,738.05","1,745.35","1,750.00","1,749.05","1,747.17","1,942.00","1,543.85","27,12,625","4,73,94,11,815.30","86,550"
23-Dec-24,EQ,"1,747.50","1,764.20","1,740.00","1,743.55","1,742.05","1,745.35","1,748.55","1,942.00","1,543.85","27,48,036","4,80,50,70,781.30","95,146"
20-Dec-24,EQ,"1,755.00","1,768.85","1,733.35","1,762.10","1,748.70","1,743.55","1,744.90","1,942.00","1,543.85","1,46,85,688","25,62,50,36,882.65","1,54,525"
19-Dec-24,EQ,"1,763.45","1,768.00","1,745.40","1,780.00","1,763.45","1,762.10","1,756.92","1,942.00","1,543.85","40,74,080","7,15,78,51,905.40","1,34,049"
18-Dec-24,EQ,"1,782.00","1,786.70","1,770.35","1,784.05","1,780.00","1,780.00","1,779.73","1,942.00","1,543.85","35,29,430","6,28,14,49,565.45","1,01,262"
17-Dec-24,EQ,"1,796.10","1,806.85","1,775.00","1,804.45","1,781.00","1,784.05","1,784.47","1,942.00","1,543.85","35,92,861","6,41,13,61,535.85","1,14,350"
16-Dec-24,EQ,"1,803.00","1,813.00","1,793.85","1,805.65","1,800.00","1,804.45","1,801.41","1,942.00","1,543.85","29,89,393","5,38,51,36,225.40","1,05,342"
13-Dec-24,EQ,"1,758.35","1,809.00","1,748.05","1,768.70","1,804.90","1,805.65","1,777.45","1,942.00","1,543.85","38,93,531","6,92,05,51,942.50","1,87,325"
12-Dec-24,EQ,"1,790.00","1,796.45","1,765.35","1,794.70","1,773.00","1,768.70","1,773.09","1,942.00","1,543.85","34,88,259","6,18,49,81,441.45","1,38,972"
11-Dec-24,EQ,"1,796.00","1,806.80","1,789.95","1,794.70","1,795.00","1,794.70","1,797.73","1,942.00","1,543.85","23,93,428","4,30,27,48,698.80","1,46,978"
