Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-24,EQ,"2,994.40","3,018.90","2,971.20","3,002.90","3,014.85","3,007.10","3,002.52","3,222.10","1,575.00","15,36,411","4,61,31,01,288.15","1,03,146"
30-Dec-24,EQ,"3,028.05","3,044.60","2,991.05","3,049.45","3,015.00","3,002.90","3,021.00","3,222.10","1,575.00","23,36,275","7,05,78,94,484.30","1,35,762"
27-Dec-24,EQ,"2,987.20","3,064.00","2,978.05","2,975.65","3,042.00","3,049.45","3,044.76","3,222.10","1,575.00","22,90,315","6,97,34,66,553.80","1,26,468"
26-Dec-24,EQ,"2,925.00","2,984.45","2,923.35","2,928.70","2,984.20","2,975.65","2,965.85","3,222.10","1,575.00","21,62,163","6,41,26,48,587.30","1,26,043"
24-Dec-24,EQ,"2,909.40","2,950.20","2,900.80","2,909.30","2,916.50","2,928.70","2,932.16","3,222.10","1,575.00","18,58,546","5,44,95,59,827.10","95,864"
23-Dec-24,EQ,"2,918.00","2,942.40","2,891.10","2,906.35","2,915.00","2,909.30","2,908.63","3,222.10","1,575.00","21,42,508","6,23,17,61,429.10","1,16,382"
20-Dec-24,EQ,"3,014.65","3,025.00","2,886.35","3,014.65","2,916.95","2,906.35","2,921.81","3,222.10","1,575.00","80,46,336","23,50,98,27,079.65","1,78,148"
19-Dec-24,EQ,"3,006.00","3,045.00","2,970.50","3,051.20","3,015.00","3,014.65","3,009.29","3,222.10","1,575.00","23,72,390","7,13,92,04,242.55","1,26,113"
18-Dec-24,EQ,"3,026.10","3,062.00","3,024.55","3,041.50","3,049.30","3,051.20","3,047.31","3,222.10","1,575.00","20,14,105","6,13,75,96,710.65","1,07,664"
17-Dec-24,EQ,"3,055.10","3,093.75","3,028.00","3,084.85","3,035.20","3,041.50","3,053.91","3,222.10","1,575.00","25,64,201","7,83,08,49,808.35","1,30,274"
16-Dec-24,EQ,"3,089.40","3,092.15","3,040.00","3,081.40","3,083.30","3,084.85","3,068.33","3,222.10","1,575.00","23,00,493","7,05,86,75,404.15","1,08,823"
13-Dec-24,EQ,"3,051.00","3,093.10","3,000.00","3,067.45","3,082.65","3,081.40","3,057.47","3,222.10","1,575.00","24,67,964","7,54,57,35,060.75","1,61,210"
12-Dec-24,EQ,"3,084.80","3,086.00","3,045.00","3,072.05","3,059.65","3,067.45","3,067.50","3,222.10","1,575.00","19,58,999","6,00,92,23,924.10","1,03,751"
11-Dec-24,EQ,"3,052.00","3,115.00","3,047.80","3,066.90","3,075.30","3,072.05","3,083.64","3,222.10","1,575.00","24,09,385","7,42,96,67,275.05","1,23,928"
10-Dec-24,EQ,"3,047.95","3,081.25","3,005.30","3,051.25","3,066.00","3,066.90","3,038.98","3,222.10","1,575.00","20,61,909","6,26,61,10,443.20","1,12,898"
09-Dec-24,EQ,"3,063.40","3,073.00","3,040.00","3,073.00","3,048.00","3,051.25","3,055.30","3,222.10","1,575.00","18,79,542","5,74,25,68,051.70","92,999"
06-Dec-24,EQ,"3,075.50","3,099.00","3,065.95","3,071.60","3,070.00","3,073.00","3,082.29","3,222.10","1,575.00","26,88,767","8,28,75,47,290.75","1,40,317"
05-Dec-24,EQ,"3,049.95","3,099.00","3,016.05","3,031.75","3,069.00","3,071.60","3,058.47","3,222.10","1,575.00","37,97,063","11,61,32,16,825.90","1,66,421"
04-Dec-24,EQ,"3,003.00","3,051.85","3,003.00","3,027.30","3,025.00","3,031.75","3,032.57","3,222.10","1,575.00","33,64,025","10,20,16,51,331.45","1,74,102"
03-Dec-24,EQ,"3,041.70","3,041.70","2,987.65","3,016.40","3,025.00","3,027.30","3,020.04","3,222.10","1,575.00","23,08,865","6,97,28,56,050.00","1,11,711"
02-Dec-24,EQ,"2,984.00","3,026.25","2,961.90","2,966.10","3,019.40","3,016.40","3,004.29","3,222.10","1,575.00","23,18,823","6,96,64,22,287.80","1,24,690"
29-Nov-24,EQ,"2,903.00","2,991.65","2,903.00","2,898.70","2,973.60","2,966.10","2,957.03","3,222.10","1,542.15","35,42,836","10,47,62,82,364.85","2,13,329"
28-Nov-24,EQ,"2,995.00","2,999.95","2,892.00","3,004.80","2,904.00","2,898.70","2,928.88","3,222.10","1,542.15","44,57,143","13,05,44,19,649.45","2,83,790"
27-Nov-24,EQ,"3,025.95","3,070.00","2,986.05","2,985.20","3,000.00","3,004.80","3,021.24","3,222.10","1,542.15","35,93,911","10,85,80,71,838.80","1,60,444"
26-Nov-24,EQ,"3,053.50","3,068.10","2,952.50","3,045.60","3,005.00","2,985.20","2,997.87","3,222.10","1,542.15","21,44,702","6,42,95,32,777.85","1,09,018"
25-Nov-24,EQ,"3,075.00","3,149.65","3,022.40","3,012.95","3,047.60","3,045.60","3,069.03","3,222.10","1,542.15","62,99,837","19,33,44,14,421.20","2,31,715"
22-Nov-24,EQ,"2,944.00","3,063.50","2,896.70","2,936.25","3,005.50","3,012.95","2,977.33","3,222.10","1,535.00","48,27,125","14,37,19,65,141.60","2,28,670"
21-Nov-24,EQ,"2,962.50","2,974.00","2,918.00","2,948.95","2,925.05","2,936.25","2,939.66","3,222.10","1,535.00","38,21,808","11,23,48,12,173.15","1,98,573"
19-Nov-24,EQ,"2,845.00","2,998.00","2,845.00","2,846.90","2,936.55","2,948.95","2,955.35","3,222.10","1,535.00","52,30,405","15,45,76,91,246.80","2,43,063"
18-Nov-24,EQ,"2,844.00","2,874.70","2,800.05","2,807.20","2,846.95","2,846.90","2,833.55","3,222.10","1,535.00","24,05,351","6,81,56,91,926.35","1,27,014"
14-Nov-24,EQ,"2,815.00","2,842.40","2,736.25","2,798.95","2,818.25","2,807.20","2,793.03","3,222.10","1,513.05","24,78,112","6,92,14,41,550.45","1,75,000"
13-Nov-24,EQ,"2,876.00","2,895.00","2,782.90","2,898.55","2,798.00","2,798.95","2,808.05","3,222.10","1,513.05","39,49,602","11,09,06,61,915.05","2,85,055"
12-Nov-24,EQ,"2,931.20","2,945.90","2,880.00","2,930.60","2,884.05","2,898.55","2,912.87","3,222.10","1,513.05","24,14,528","7,03,32,00,332.95","1,24,178"
11-Nov-24,EQ,"2,962.35","3,009.60","2,889.05","2,974.90","2,920.00","2,930.60","2,946.34","3,222.10","1,513.05","26,28,672","7,74,49,72,849.00","1,37,708"
08-Nov-24,EQ,"2,910.00","2,990.95","2,851.25","2,891.35","2,960.60","2,974.90","2,932.06","3,222.10","1,473.55","44,55,563","13,06,39,61,740.65","2,39,380"
07-Nov-24,EQ,"2,971.75","2,972.55","2,857.95","2,934.55","2,900.00","2,891.35","2,910.04","3,222.10","1,473.55","42,51,557","12,37,21,87,568.00","2,04,748"
06-Nov-24,EQ,"2,910.00","2,953.80","2,885.40","2,899.45","2,912.40","2,934.55","2,925.64","3,222.10","1,473.55","29,02,347","8,49,12,25,138.90","1,50,639"
05-Nov-24,EQ,"2,875.50","2,908.00","2,822.10","2,883.95","2,890.00","2,899.45","2,877.99","3,222.10","1,473.55","35,62,624","10,25,31,95,982.75","1,15,664"
